Age,DistanceFromHome,Education,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,EducationField,Gender,Attrition,Department,JobRole,OverTime
41,1,2,2,3,2,4,5993,8,1,0,8,0,1,6,4,0,5,0.0,1.0,1.0,1.0,0.0,1.0
37,2,2,4,2,1,3,2090,6,2,0,7,3,3,0,0,0,0,4.0,0.0,1.0,0.0,2.0,1.0
28,24,3,3,2,1,3,2028,5,2,0,6,4,3,4,2,0,3,0.0,0.0,1.0,0.0,2.0,1.0
36,9,4,3,2,1,1,3407,7,2,0,10,4,3,5,3,0,3,0.0,0.0,1.0,1.0,6.0,0.0
34,6,1,2,3,1,1,2960,2,3,0,8,2,3,4,2,1,3,1.0,0.0,1.0,0.0,1.0,0.0
32,16,1,2,1,1,1,3919,1,2,0,10,5,3,10,2,6,7,0.0,1.0,1.0,0.0,1.0,1.0
39,5,3,4,3,2,4,2086,3,3,1,19,6,4,1,0,0,0,3.0,0.0,1.0,1.0,6.0,0.0
24,1,3,2,3,1,4,2293,2,1,1,6,2,2,2,0,2,0,1.0,0.0,1.0,0.0,1.0,1.0
50,3,2,1,2,1,3,2683,1,3,0,3,2,3,3,2,0,2,2.0,0.0,1.0,1.0,6.0,1.0
26,25,3,1,1,1,3,2293,1,3,0,1,2,2,1,0,0,1,0.0,0.0,1.0,0.0,2.0,0.0
41,12,3,2,3,5,3,19545,1,4,0,23,0,3,5,3,1,8,3.0,1.0,1.0,0.0,7.0,0.0
48,1,2,1,2,3,3,5381,9,4,0,23,2,3,1,0,0,0,0.0,0.0,1.0,0.0,2.0,1.0
28,5,4,3,3,1,3,3441,1,3,0,2,3,2,2,2,2,2,3.0,0.0,1.0,0.0,2.0,1.0
36,9,3,4,2,1,3,3388,0,1,1,2,0,2,1,0,0,0,1.0,0.0,1.0,0.0,1.0,1.0
46,9,2,3,2,3,4,9619,1,4,0,9,3,3,9,8,4,7,1.0,0.0,1.0,1.0,0.0,0.0
37,6,4,3,3,1,1,2073,4,4,0,7,3,3,3,2,0,2,5.0,0.0,1.0,2.0,8.0,1.0
20,6,3,4,2,1,4,2926,1,2,0,1,5,3,1,0,1,0,0.0,1.0,1.0,0.0,2.0,1.0
25,5,3,3,2,2,3,5744,1,4,0,6,1,3,6,4,0,3,2.0,0.0,1.0,1.0,0.0,1.0
34,7,3,1,1,2,3,6074,1,4,0,9,3,3,9,7,0,6,0.0,0.0,1.0,0.0,2.0,1.0
56,14,4,2,3,1,2,4963,9,1,3,7,2,3,5,4,4,3,0.0,1.0,1.0,0.0,1.0,1.0
31,6,4,2,1,2,3,6172,4,2,0,12,3,2,7,7,7,7,0.0,0.0,1.0,1.0,0.0,1.0
58,23,4,4,3,3,4,10312,1,4,1,10,3,2,5,10,1,6,1.0,1.0,1.0,0.0,4.0,0.0
19,22,1,4,3,1,3,1675,1,4,0,0,2,2,0,0,0,0,2.0,0.0,1.0,1.0,6.0,1.0
31,20,3,2,1,2,3,4559,3,3,1,4,2,3,2,2,2,2,0.0,1.0,1.0,1.0,0.0,1.0
51,8,4,1,1,3,4,10650,2,4,0,18,2,3,4,2,0,3,0.0,0.0,1.0,0.0,3.0,0.0
32,9,3,1,3,1,1,4200,7,1,0,10,2,4,5,4,0,4,1.0,1.0,1.0,0.0,2.0,0.0
19,1,1,3,1,1,1,2325,0,1,0,1,5,4,0,0,0,0,3.0,1.0,1.0,1.0,6.0,0.0
19,2,3,2,2,1,4,1102,1,3,0,1,3,2,1,0,1,0,0.0,0.0,1.0,0.0,2.0,0.0
